Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 22:19:59,27.88,0, , , , 
2022-06-13 22:21:59,27.88,0, , , , 
2022-06-13 22:23:59,27.88,0, , , , 
2022-06-13 22:25:59,27.88,0, , , , 
2022-06-13 22:27:59,27.88,0, , , , 
2022-06-13 22:29:59,27.88,0, , , , 
2022-06-13 22:31:59,27.88,0, , , , 
2022-06-13 22:33:59,27.93,0, , , , 
2022-06-13 22:35:59,27.93,0, , , , 
2022-06-13 22:37:59,27.93,0, , , , 
2022-06-13 22:39:59,27.93,0, , , , 
2022-06-13 22:41:59,27.93,0, , , , 
2022-06-13 22:43:59,27.93,0, , , , 
2022-06-13 22:45:59,28.01,0, , , , 
2022-06-13 22:47:59,27.97,0, , , , 
2022-06-13 22:49:59,27.97,0, , , , 
2022-06-13 22:51:59,28.01,0, , , , 
2022-06-13 22:53:59,27.97,0, , , , 
2022-06-13 22:55:59,27.97,0, , , , 
2022-06-13 22:57:59,28.01,0, , , , 
2022-06-13 22:59:59,27.97,0, , , , 
2022-06-13 23:01:59,27.97,0, , , , 
2022-06-13 23:03:59,27.97,0, , , , 
2022-06-13 23:05:59,27.97,0, , , , 
2022-06-13 23:07:59,27.93,0, , , , 
2022-06-13 23:09:59,27.97,1, , , , 
2022-06-13 23:11:59,27.97,0, , , , 
2022-06-13 23:13:59,27.97,0, , , , 
2022-06-13 23:15:59,27.97,0, , , , 
2022-06-13 23:17:59,27.97,0, , , , 
2022-06-13 23:19:59,27.93,0, , , , 
2022-06-13 23:21:59,27.93,0, , , , 
2022-06-13 23:23:59,27.97,0, , , , 
2022-06-13 23:25:59,27.97,0, , , , 
2022-06-13 23:27:59,27.93,0, , , , 
2022-06-13 23:29:59,28.01,0, , , , 
2022-06-13 23:31:59,27.93,0, , , , 
2022-06-13 23:33:59,27.88,0, , , , 
2022-06-13 23:35:59,27.88,0, , , , 
2022-06-13 23:37:59,27.93,0, , , , 
