Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,F7,FALSE,CR2Apal_36C_103,Apal,UNKNOWN,SYBR,None,23.394044876098633,23.29661750793457,0.13778311014175415,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.92773399662367106,4.3874883651733398,3.8799073696136475,74.987220764160156,,,,N,N,N,N
68,F8,FALSE,CR2Apal_36C_103,A,UNKNOWN,SYBR,None,27.874639511108398,27.608226776123047,0.37676584720611572,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95336989846831188,5.3675632476806641,4.9452991485595703,87.611038208007812,,,,N,N,N,N
69,F9,FALSE,CR2Apal_36C_104,Apal,UNKNOWN,SYBR,None,28.353706359863281,27.231666564941406,1.5868052244186401,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.83231615743243093,1.8344595432281494,1.2594552040100098,74.727012634277344,,,,N,N,Y,N
70,F10,FALSE,CR2Apal_36C_104,A,UNKNOWN,SYBR,None,29.911966323852539,31.856605529785156,2.7501363754272461,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.957277542180904,4.9024572372436523,4.5017256736755371,87.787498474121094,,,,N,N,Y,N
71,F11,FALSE,CR2Apal_36C_104,Apal,UNKNOWN,SYBR,None,26.109624862670898,27.231666564941406,1.5868052244186401,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9454012685193246,3.8657736778259277,4.1328978538513184,74.999717712402344,,,,N,N,Y,N
72,F12,FALSE,CR2Apal_36C_104,A,UNKNOWN,SYBR,None,33.801246643066406,31.856605529785156,2.7501363754272461,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.90860780157794896,3.4359321594238281,2.4803428649902344,87.628921508789062,,,,N,N,Y,N
73,G1,FALSE,CR2Apal_36C_105,Apal,UNKNOWN,SYBR,None,30.212863922119141,30.138603210449219,0.10502185672521591,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95287498747506294,3.7213263511657715,3.3817687034606934,74.578460693359375,,,,N,N,N,N
74,G2,FALSE,CR2Apal_36C_105,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.34427717328071594,-0.0052785621955990791,81.033477783203125,89.874038696289062,84.541641235351562,62.089401245117188,Y,Y,N,Y
75,G3,FALSE,CR2Apal_36C_105,Apal,UNKNOWN,SYBR,None,30.064340591430664,30.138603210449219,0.10502185672521591,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94463731512084514,3.5483059883117676,3.1750714778900146,74.84442138671875,,,,N,N,N,N
76,G4,FALSE,CR2Apal_36C_105,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.33000308275222778,-0.0067664580419659615,83.117576599121094,89.006942749023438,74.984649658203125,67.693061828613281,Y,Y,N,Y
